省份,地区,学校名称,类型,电话,邮编,地址
北京,北京,西城区福绥境街道横三条幼儿园,幼儿园,010-66161227,100034,西城区宫门口横胡同８号
北京,北京,密云县春雷托儿所,幼儿园,10-89012126,101500,密云县穆家峪镇新农村新城路６９号
北京,北京市,密云学前教育中心,幼儿园,010-69046350,101500,北京市密云县环新北路滨阳里
北京,北京市,宋庆龄基金会华音音乐培训学校,幼儿园,010-66796883,100081,北京市海淀区中关村南大街12号
北京,北京市,顺义区牛栏山中心幼儿园,幼儿园,010-69414003,101301,北京市顺义区牛栏山镇府前街24号
北京,北京市,顺义南法信镇中心幼儿园,幼儿园,010-69473313,101300,北京市顺义区南法信刘家河
北京,北京市,首都师范大学幼儿教育中心,幼儿园,010-68902551,100037,北京市海淀区西三环北路105号
北京,北京市,首钢幼儿保教中心,幼儿园,010-68873601,100043,北京市石景山区首钢古城幼儿园内
北京,北京市,密云工业局幼儿园,幼儿园,010-69042639,101500,北京市密云县鼓楼
北京,北京市,小汤山镇大东流中心幼儿园,幼儿园,010-61712095,102211,北京市昌平区小汤山大东流
北京,北京市,延庆县南菜园幼儿园,幼儿园,010-81197564,102100,北京市延庆县延庆镇南菜园中街十号
北京,北京市,延庆县幼儿员园,幼儿园,010-69103284,102100,北京市延庆县西街
北京,北京市,延庆县新城幼儿园,幼儿园,010-69142291,102100,北京市延庆县延庆镇新城街七号
北京,北京市,建社部幼儿园,幼儿园,010-68393393,100037,北京市海淀区三里河路9号
北京,北京市,怀柔县九渡河镇幼儿园,幼儿园,010-69682004,101404,北京市怀柔县九渡河
北京,北京市,怀柔县北房镇中心幼儿园,幼儿园,010-61681406,101400,北京市怀柔县北房幸福西街
北京,北京市,运河幼儿园,幼儿园,010-81528111,101101,北京市通州区葛布店北里8号楼北侧
北京,北京市,通州区玉桥街道幼儿园,幼儿园,010-81587114,101101,北京市通州区玉桥街道玉桥北里47号楼
北京,北京市,顺义区仁和中心幼儿园,幼儿园,010-89449587,101300,北京市顺义区石园南区
北京,北京市,顺义区北小营中心幼儿园,幼儿园,010-60483603,101305,北京市顺义区北小营镇
北京,北京市,顺义区大孙各庄镇大孙各庄幼儿园,幼儿园,010-61432041,101308,北京市顺义区大孙各庄
北京,北京市,顺义区尹家府中心幼儿园,幼儿园,010-61472812,101308,北京市顺义区大孙各庄四福通大街82号
北京,北京市,顺义区李遂镇中心幼儿园,幼儿园,010-89481707,101300,北京市顺义区李遂柳各庄
北京,北京市,顺义区杨镇中心幼儿园,幼儿园,010-61451973,101309,北京市顺义区杨镇政府街四号
北京,北京市,怀柔县怀柔镇中心幼儿园,幼儿园,010-69643972,101400,北京市怀柔县兴怀大街8号
北京,北京市,怀柔县杨宋镇中心幼儿园,幼儿园,010-61678795,101400,北京市怀柔县杨宋仙台
北京,北京市,怀柔县桥梓镇北宅幼儿园,幼儿园,010-60672264,101402,北京市怀柔县桥梓北宅
北京,北京市,怀柔县桥梓镇幼儿园,幼儿园,010-69675561,101402,北京市怀柔县前桥梓
北京,北京市,怀柔县渤海镇幼儿园,幼儿园,010-61631771,101405,北京市怀柔县渤海沙峪
北京,北京市,怀柔县第二幼儿园,幼儿园,010-69622792,101400,北京市怀柔县居民湖光南街15号
北京,北京市,新华通讯社幼儿园,幼儿园,010-63961188,100038,北京市海淀区羊坊店路3号
北京,北京市,新村街道孟村幼儿园,幼儿园,010-63734585,100070,北京市丰台区孟村120号
北京,北京市,昌平八街幼儿园,幼儿园,010-89702694,102200,北京市昌平区城北八街幼儿园七圣庙2号
北京,北京市,昌平区崔村镇中心幼儿园,幼儿园,010-60721379,102212,北京市昌平区西崔村
北京,北京市,昌平区昌平镇中心幼儿园,幼儿园,010-89738888,102200,北京市昌平区邓庄
北京,北京市,望京新城幼儿园,幼儿园,010-64749563,100102,北京市朝阳区望京新城西园四区409楼
北京,北京市,朝阳区十八里店兴华幼儿园,幼儿园,010-67471407,100023,北京市朝阳区十八里店
北京,北京市,朝阳区左家庄街道中心幼儿园,幼儿园,010-64660909,100027,北京市朝阳区三云里街10号楼
北京,北京市,松榆东里幼儿园,幼儿园,010-67343168,100021,北京市朝阳区松榆东里30号楼
北京,北京市,海军北京示范幼儿园,幼儿园,010-66954011,100841,北京市海淀区西三环中路19号
北京,北京市,海淀区北太平庄街道蓟门里幼儿园,幼儿园,010-62019223,100088,北京市海淀区学院路蓟门里小区甲1号
北京,北京市,海淀区北安河乡中心幼儿园,幼儿园,010-62455506,100095,北京市海淀区北安河
北京,北京市,海淀区海淀南路培新幼儿园,幼儿园,010-62562932,100080,北京市海淀区海淀南路22号
北京,北京市,清河毛纺厂幼儿园,幼儿园,010-62949162,100085,北京市海淀区清河毛纺路
北京,北京市,石油勘探开发科学研究院幼儿园,幼儿园,010-62097343,100083,北京市海淀区学院路20号
北京,北京市,科委家委会托儿所,幼儿园,010-68515544,100036,北京市海淀区柳林馆南里甲8号楼
北京,北京市,空军直属机关幼儿园,幼儿园,010-66984752,100843,北京市海淀区复兴路14号
北京,北京市,航天工业总公司机关燕郊幼儿园,幼儿园,010-68371537,100037,北京市海淀区阜成路8号
北京,北京市,中国农业大学东校区幼儿园,幼儿园,010-62336981,100083,北京市海淀区清华东路17号
北京,北京市,中国农业大学西校区幼儿园,幼儿园,010-（010）62733021/（010）62...,100094,北京市海淀区圆明园西路3号
北京,北京市,中国国土资源航空物探遥感中心幼儿园,幼儿园,010-82329032,100083,北京市海淀区学院路29号
北京,北京市,中国电力科学研究院幼儿园,幼儿园,010-62913201,100085,北京市海淀区清河小营东路7号院
北京,北京市,中国航天科工集团第三研究院幼儿园,幼儿园,010-68376265,100074,北京市丰台区云岗街道云岗南区东里18号
北京,北京市,中国航天第二研究院后勤保障部中心幼儿园,幼儿园,010-68385233,100854,北京市海淀区永定路正大南路6号
北京,北京市,中国轻工业局幼儿园,幼儿园,010-68012145,100045,北京市西城区南礼士路46号
北京,北京市,中组部机关服务中心幼儿园,幼儿园,010-66036524,100032,北京市西城区西单北大街小酱坊胡同31号
北京,北京市,丰台区嘉园第一幼儿园分园,幼儿园,010-67991501,100076,北京市丰台区南苑五爱屯街11号
北京,北京市,丰台区大红门街道办事处东楼幼儿园,幼儿园,010-67221959,100075,北京市丰台区大红门西里东楼
北京,北京市,丰台区长辛店大街幼儿园,幼儿园,010-83876295,100072,北京市丰台区长辛店大街100号
北京,北京市,丰台区阳光双语艺术幼儿园角门分园,幼儿园,010-67544482,100077,北京市丰台区角门东里七号乙
北京,北京市,丰台区鲁艺小铃铛艺术培训学校,幼儿园,010-87294258,100077,北京市丰台区西罗园四区26号
北京,北京市,丰台镇胜利幼儿教育园,幼儿园,010-63738430,100070,北京市丰台区东兴里118号
北京,北京市,九渡河黄花城幼儿园,幼儿园,010-61652352,101403,北京市怀柔县九渡河黄花城
北京,北京市,交通部机关第二幼儿园,幼儿园,010-64212571,100011,北京市朝阳区安华西里三区十八号
北京,北京市,信息产业电子第十五研究所幼儿园,幼儿园,010-62327661,100083,北京市海淀区北四环中路211号
北京,北京市,北下关街道办事处头堆幼儿园,幼儿园,010-62180837,100044,北京市海淀区头堆村5号
北京,北京市,北京中和艺术幼儿园,幼儿园,010-84049215,100009,北京市西城区鼓楼西大街鸦儿胡同21号
北京,北京市,北京丰台区实验艺术幼儿园马家堡分园,幼儿园,010-67534412,100077,北京市丰台区嘉园二里34号楼
北京,北京市,北京乐乐园儿童潜能教育开发中心,幼儿园,010-64661887,101405,北京市怀柔区渤海镇渤海工业园区３２号
北京,北京市,北京京铁生活服务中心丰台幼儿园,幼儿园,010-51851831,100070,北京市丰台区丰台镇韩庄子东里１号
北京,北京市,北京京铁生活服务中心夕照寺幼儿园,幼儿园,010-67121384,100061,北京市崇文区夕照寺街东里２０号
北京,北京市,北京京铁生活服务中心平安里幼儿园,幼儿园,010-51834471,100035,北京市西城区育德胡同５号
北京,北京市,北京京铁生活服务中心永定门幼儿园,幼儿园,010-51837811,100054,北京市崇文区永定门车站路１２号
北京,北京市,北京公交总公司鸿运承幼教管理中心,幼儿园,010-68521990,100037,北京市西城区阜外大街３２号
北京,北京市,北京北方车辆制造厂总务处幼儿园,幼儿园,010-83807200,100072,北京市丰台区长辛店朱家坟二里
北京,北京市,北京北毛集团幼儿园,幼儿园,010-62939802,100085,北京市海淀区清河
北京,北京市,北京华蓄水电开发公司,幼儿园,010-69741927,102200,北京市昌平区城北水关新村
北京,北京市,北京南口机车车辆机械厂生活服务公司幼儿园,幼儿园,010-69771260,102202,北京市昌平区南口道北
北京,北京市,北京卫星制造厂科星幼儿园,幼儿园,010-62610546,100080,北京市海淀区中关村932楼甲
北京,北京市,北京同以联养猪合作社,幼儿园,010-61432031,101308,北京市顺义区大孙各庄佟辛庄
北京,北京市,北京启明双语幼儿园,幼儿园,010-62538273,100083,北京市海淀区东升园十条华清家园
北京,北京市,北京小博士双语幼稚园,幼儿园,010-69103587,102100,北京市延庆县延庆镇新兴小区
北京,北京市,北京小牛津双语才艺幼儿园,幼儿园,010-64936626,100101,北京市朝阳区大屯慧忠里308号
北京,北京市,北京崇文区第二幼儿园,幼儿园,010-67116076,100062,北京市崇文区安化北里64号
北京,北京市,北京崇文区红湖幼儿园,幼儿园,010-67123029,100061,北京市崇文区龙潭北里3条3号
北京,北京市,北京巧智博仁国际幼儿园有限公司,幼儿园,010-65056149,100004,北京市朝阳区建外大街一号国贸北公寓一层
北京,北京市,北京市东华门幼儿园,幼儿园,010-65254467,100006,北京市东城区北河沿大街149号
北京,北京市,北京市东城区东华门缎库幼儿园,幼儿园,010-65252075,100006,北京市东城区南池子大街缎库胡同１８号
北京,北京市,北京市东城区安定门大经厂幼儿园,幼儿园,010-64045445,100009,北京市东城区大经厂５５号
北京,北京市,北京市东城区安定门街道敬老院,幼儿园,010-64040428,100009,北京市东城区钟楼湾１１号
北京,北京市,北京市东城区建国门托幼中心园所,幼儿园,010-65245562,100005,北京市东城区西裱褙胡同２１号
北京,北京市,北京市东城区朝阳门街道史家幼儿园,幼儿园,010-65250055,100010,北京市东城区史家胡同２４号
北京,北京市,北京市东城区朝阳门街道小方家幼儿园,幼儿园,010-65254789,100010,北京市东城区小方家胡同１３号
北京,北京市,北京市东城区赵堂子儿童艺术培训学校,幼儿园,010-65252344,100005,北京市东城区赵堂子胡同11号
北京,北京市,北京市东方爱婴咨询有限公司,幼儿园,010-84990156,100101,北京市朝阳区安定路1号
北京,北京市,北京市东棉花胡同幼儿园,幼儿园,010-64044144,100009,北京市东城区东棉华胡同20号
北京,北京市,北京市丰台区丰台镇兴隆幼儿园,幼儿园,010-63811799,100071,北京市丰台区北大地平房四里
北京,北京市,北京市丰台区丰台镇正阳幼儿园,幼儿园,010-63718494,100070,北京市丰台区丰台镇桥南正阳头条５号
北京,北京市,北京市丰台区六里桥幼儿园,幼儿园,010-63261902,100073,北京市丰台区马官营
北京,北京市,北京市丰台区北大地西区幼儿园,幼儿园,010-63864382,100071,北京市丰台区丰台北大地一里14栋
北京,北京市,北京市丰台区南苑镇新开路幼儿园,幼儿园,010-67991307,100076,北京市丰台区南苑镇新开路头道街１６号
北京,北京市,北京市丰台区卢沟桥街道五里店幼儿园,幼儿园,010-63859825,100071,北京市丰台区五里店小区17楼
北京,北京市,北京市丰台区卢沟桥街道第二幼儿园,幼儿园,010-68671451,100039,北京市丰台区大成里居住区蔚园１５号北门
北京,北京市,北京市丰台区卢沟桥街道第二幼儿园望园分园,幼儿园,010-68673135 /电话,100039,北京市丰台区大成里居住区蔚园15号北门
北京,北京市,北京市丰台区卫生局幼儿园,幼儿园,010-67628836,100078,北京市丰台区方庄芳星园三区２８号楼
北京,北京市,北京市丰台区嘉园第一幼儿园,幼儿园,010-67532806,100077,北京市丰台区嘉园二里２５号楼
北京,北京市,北京市丰台区四合庄中心幼儿园,幼儿园,010-63736417,100070,北京市丰台区花乡四合庄农工商联合公司
北京,北京市,北京市丰台区塔娃幼儿艺术培训学校,幼儿园,010-68671467,100039,北京市丰台区青塔小区蔚园１５号
北京,北京市,北京市丰台区大红门街道办事处东楼幼儿园,幼儿园,010-67221959,100075,北京市丰台区大红门东楼
北京,北京市,北京市丰台区宛平幼儿园,幼儿园,010-83214725,100072,北京市丰台区晓月苑垂虹街3号
北京,北京市,北京市丰台区小雨点艺术培训学校,幼儿园,010-67216759,100075,北京市丰台区永外赵公口小区１号楼
北京,北京市,北京市丰台区幼师附属实验艺术幼儿园,幼儿园,010-67982858,100076,北京市丰台区南苑北里一区７号楼
北京,北京市,北京市丰台区新村街道办事处孟村幼儿园,幼儿园,010-63734585,100071,北京市丰台区孟村１２０号
北京,北京市,北京市丰台区方庄第三幼儿园,幼儿园,010-67644688,100078,北京市丰台区方庄小区
北京,北京市,北京市丰台区汇佳实验幼儿园,幼儿园,010-67697530,100078,北京市丰台区方庄芳古园二区六号楼
北京,北京市,北京市丰台区白盆窑中心幼儿园,幼儿园,010-63713311,100070,北京市丰台区花乡白盆窑
北京,北京市,北京市丰台区第三幼儿园,幼儿园,010-63815572,100071,北京市丰台区五里店南里２９号楼
北京,北京市,北京市丰台区第四幼儿园,幼儿园,010-63712465,100071,北京市丰台区造甲村南里17号
北京,北京市,北京市丰台区红黄蓝多元智能实验幼儿园,幼儿园,10-63568147,100054,北京市丰台区右安门外开阳一区６号楼
北京,北京市,北京市丰台区育苗培训学校,幼儿园,010-68756183,100076,北京市丰台区南苑镇公所胡同１６号
北京,北京市,北京市丰台区花乡樊家村教工幼儿园,幼儿园,010-63736988,100070,北京市丰台区花乡樊家村56号
北京,北京市,北京市丰台区花乡郭公庄幼儿园,幼儿园,010-63734884,100070,北京市丰台区花乡郭公庄866号
